time_s,voltage_v,current_a,ah,soc
0.0,4.18398,0.0,0.02958,0.0
60.00300385057926,4.18398,0.0,0.02958,0.0
120.0070034712553,4.18398,0.0,0.02958,0.0
180.00699989497662,4.18398,0.0,0.02958,0.0
239.9980042129755,4.18398,0.0,0.02958,0.0
240.01000374555588,4.18398,0.0,0.02958,0.0
300.0190023332834,4.1703,-0.14454,0.02717,0.000804051619446744
360.0220061838627,4.16644,-0.14454,0.02475,0.001611439552667071
420.02000100910664,4.16386,-0.14536,0.02234,0.002415491172113926
480.02100326120853,4.16129,-0.14454,0.01992,0.003222879105334142
540.0250028818846,4.15872,-0.14536,0.01751,0.004026930724780775
600.0220019370317,4.15679,-0.14536,0.01509,0.004834318658001213
660.0180052220821,4.15486,-0.14536,0.01267,0.00564170659122154
720.0209990143776,4.15292,-0.14454,0.01026,0.006445758210668173
780.0229970365763,4.15099,-0.14536,0.00784,0.007253146143888611
840.0180045515299,4.14906,-0.14536,0.00543,0.008057197763335244
900.0240057706833,4.14778,-0.14454,0.00301,0.008864585696555571
960.0269995629787,4.14585,-0.14536,0.0006,0.009668637316002315
1020.0219970196486,4.14392,-0.14454,-0.00182,0.010476025249222642
1080.018000304699,4.14263,-0.14454,-0.00424,0.01128341318244297
1140.0210041552782,4.14134,-0.14454,-0.00665,0.012087464801889714
1200.0200048089027,4.13941,-0.14536,-0.00907,0.01289485273511004
1260.0240044295788,4.13813,-0.14536,-0.01148,0.013698904354556896
1320.0190018862486,4.13684,-0.14536,-0.0139,0.014506292287777112
1380.0239972770214,4.13555,-0.14536,-0.01631,0.015310343907223745
1440.0150015950203,4.13427,-0.14536,-0.01873,0.016117731840444183
1500.0250060111284,4.13234,-0.14454,-0.02115,0.01692511977366451
1560.017006099224,4.13105,-0.14454,-0.02356,0.017729171393111143
1620.024998858571,4.13041,-0.14536,-0.02598,0.01853655932633158
1680.0219979137182,4.12912,-0.14536,-0.02839,0.019340610945778214
1740.0250017642975,4.12783,-0.14454,-0.03081,0.02014799887899854
1800.0160060822964,4.12655,-0.14536,-0.03322,0.020952050498445285
1860.0189998745918,4.12526,-0.14536,-0.03564,0.021759438431665612
1920.019006356597,4.12397,-0.14536,-0.03806,0.02256682636488605
1980.0220001488924,4.12269,-0.14536,-0.04047,0.023370877984332683
2040.0200050324202,4.12204,-0.14454,-0.04289,0.02417826591755301
2100.0229988247156,4.12076,-0.14454,-0.0453,0.024982317536999865
2160.016004741192,4.12011,-0.14454,-0.04772,0.02578970547022008
2220.023001730442,4.11883,-0.14536,-0.05013,0.026593757089666714
2280.0159975886345,4.11754,-0.14536,-0.05255,0.027401145022887152
2340.018005669117,4.1169,-0.14454,-0.05497,0.02820853295610748
2400.0200036913157,4.11561,-0.14454,-0.05738,0.029012584575554334
2460.026004910469,4.11497,-0.14454,-0.0598,0.02981997250877455
2520.0160034000874,4.11368,-0.14454,-0.06221,0.030624024128221183
2580.018997192383,4.11304,-0.14536,-0.06463,0.03143141206144162
2640.0240026414394,4.11175,-0.14536,-0.06705,0.03223879999466195
2700.0149969011545,4.11111,-0.14454,-0.06946,0.03304285161410858
2760.020002350211,4.10982,-0.14454,-0.07188,0.03385023954732902
2820.0170014053583,4.10918,-0.14536,-0.07429,0.03465429116677565
2880.018999427557,4.10853,-0.14454,-0.07671,0.03546167909999598
2940.015998482704,4.10789,-0.14454,-0.07912,0.036265730719442835
3000.0190023332834,4.1066,-0.14536,-0.08154,0.03707311865266305
3060.0200045853853,4.10596,-0.14536,-0.08396,0.03788050658588338
3120.0270015746355,4.10532,-0.14536,-0.08637,0.03868455820533012
3180.019997432828,4.10403,-0.14536,-0.08879,0.03949194613855045
3240.0180023163557,4.10339,-0.14454,-0.0912,0.040295997757997304
3300.021006166935,4.10274,-0.14454,-0.09362,0.04110338569121752
3360.0230041891336,4.10146,-0.14454,-0.09604,0.04191077362443785
3420.0250022113323,4.10081,-0.14454,-0.09845,0.04271482524388459
3480.0179980695248,4.10017,-0.14536,-0.10087,0.04352221317710492
3540.0230035185814,4.09953,-0.14536,-0.10328,0.04432626479655155
3600.02500154078,4.09888,-0.14536,-0.1057,0.04513365272977199
3660.0280053913593,4.09824,-0.14454,-0.10811,0.04593770434921862
3720.027006044984,4.0976,-0.14536,-0.11053,0.04674509228243895
3780.0229992717505,4.09695,-0.14454,-0.11295,0.04755248021565939
3840.019002556801,4.09631,-0.14454,-0.11536,0.04835653183510602
3900.018998980522,4.09567,-0.14454,-0.11778,0.04916391976832635
3960.022998601198,4.09438,-0.14454,-0.1202,0.049971307701546785
4020.0219992548227,4.09374,-0.14454,-0.12261,0.05077535932099342
4080.0230015069246,4.09309,-0.14536,-0.12503,0.05158274725421386
4140.021006390452,4.09245,-0.14454,-0.12744,0.05238679887366049
4200.016999617219,4.09181,-0.14536,-0.12986,0.05319418680688082
4260.017006099224,4.09116,-0.14454,-0.13227,0.05399823842632756
4320.015000924468,4.09052,-0.14536,-0.13469,0.05480562635954789
4380.014997348189,4.08988,-0.14536,-0.13711,0.055613014292768215
4440.017005428672,4.08923,-0.14454,-0.13952,0.05641706591221496
4500.016006082296,4.08859,-0.14454,-0.14194,0.057224453845435286
4560.025004670024,4.08795,-0.14536,-0.14435,0.05802850546488203
4620.022003725171,4.0873,-0.14536,-0.14677,0.05883589339810236
4680.017996951938,4.08666,-0.14454,-0.14918,0.05963994501754899
4740.01899920404,4.08601,-0.14536,-0.1516,0.06044733295076943
4800.022998824716,4.08537,-0.14536,-0.15402,0.061254720883989755
4860.024996846914,4.08473,-0.14454,-0.15643,0.06205877250343639
4920.023997500539,4.08408,-0.14454,-0.15885,0.06286616043665683
4980.024999752641,4.08344,-0.14454,-0.16126,0.06367021205610346
5040.026997774839,4.08344,-0.14536,-0.16368,0.06447759998932379
5100.020003691316,4.0828,-0.14454,-0.16609,0.06528165160877053
5160.015996918082,4.08151,-0.14454,-0.16851,0.06608903954199086
5220.020006597042,4.08087,-0.14454,-0.17093,0.06689642747521118
5280.015004053712,4.08022,-0.14536,-0.17334,0.06770047909465793
5340.017002075911,4.07958,-0.14536,-0.17576,0.06850786702787826
5400.026000663638,4.07958,-0.14454,-0.17817,0.069311918647325
5460.0220039486885,4.07894,-0.14536,-0.18059,0.07011930658054533
5520.019003003836,4.07829,-0.14536,-0.18301,0.07092669451376565
5580.023002624512,4.07765,-0.14454,-0.18542,0.0717307461332124
5640.024004876614,4.07701,-0.14454,-0.18784,0.07253813406643272
5700.016004964709,4.07636,-0.14454,-0.19025,0.07334218568587936
5760.0230019539595,4.07572,-0.14536,-0.19267,0.0741495736190998
5820.015002042055,4.07508,-0.14454,-0.19509,0.07495696155232012
5880.019997432828,4.07443,-0.14454,-0.1975,0.07576101317176676
5940.023001283407,4.07379,-0.14454,-0.19992,0.0765684011049872
6000.020000338554,4.07315,-0.14454,-0.20233,0.07737245272443383
6060.018005222082,4.0725,-0.14454,-0.20475,0.07817984065765415
6120.017005875707,4.07186,-0.14454,-0.20716,0.0789838922771009
6180.017002299428,4.07122,-0.14536,-0.20958,0.07979128021032122
6240.020006150007,4.07057,-0.14536,-0.212,0.08059866814354166
6300.022999942303,4.06993,-0.14536,-0.21441,0.0814027197629883
6360.017001628876,4.06929,-0.14454,-0.21683,0.08221010769620862
6420.026000216603,4.06864,-0.14454,-0.21924,0.08301415931565537
6480.020997673273,4.068,-0.14536,-0.22166,0.0838215472488757
6540.019998326898,4.06736,-0.14536,-0.22408,0.08462893518209602
6600.016001611948,4.06671,-0.14454,-0.22649,0.08543298680154277
6660.015998035669,4.06607,-0.14536,-0.22891,0.08624037473476309
6720.0240008533,4.06543,-0.14536,-0.23132,0.08704442635420984
6780.0169967114925,4.06478,-0.14536,-0.23374,0.08785181428743016
6840.024999529123,4.06414,-0.14536,-0.23616,0.08865920222065049
6900.026997551322,4.0635,-0.14454,-0.23857,0.08946325384009723
6960.018001869321,4.06285,-0.14536,-0.24099,0.09027064177331756
7020.022001489997,4.06221,-0.14536,-0.2434,0.0910746933927642
7080.02699688077,4.06157,-0.14454,-0.24582,0.09188208132598463
7140.024005994201,4.06028,-0.14454,-0.24823,0.09268613294543127
7200.021005049348,4.05964,-0.14536,-0.25065,0.09349352087865159
7260.014996677637,4.05899,-0.14454,-0.25307,0.09430090881187203
7320.019006356597,4.05835,-0.14454,-0.25548,0.09510496043131866
7380.026003345847,4.05771,-0.14536,-0.2579,0.0959123483645391
7440.01899920404,4.05706,-0.14454,-0.26031,0.09671639998398573
7500.026006251574,4.05642,-0.14536,-0.26273,0.09752378791720606
7560.019997879863,4.05578,-0.14536,-0.26515,0.0983311758504265
7620.021000131965,4.05513,-0.14454,-0.26756,0.09913522746987313
7680.0159975886345,4.05385,-0.14454,-0.26998,0.09994261540309346
7740.019001439214,4.0532,-0.14454,-0.27239,0.1007466670225402
7800.0170063227415,4.05256,-0.14454,-0.27481,0.10155405495576053
7860.027996450663,4.05192,-0.14536,-0.27723,0.10236144288898086
7920.025005564094,4.05127,-0.14536,-0.27964,0.1031654945084276
7980.025997757912,4.04999,-0.14536,-0.28206,0.10397288244164793
8040.019999444485,4.04934,-0.14536,-0.28447,0.10477693406109456
8100.0180043280125,4.0487,-0.14536,-0.28689,0.105584321994315
8160.029004514217,4.04806,-0.14454,-0.28931,0.10639170992753533
8220.017997175455,4.04741,-0.14536,-0.29172,0.10719576154698196
8280.01699782908,4.04613,-0.14454,-0.29414,0.1080031494802024
8340.017004311085,4.04548,-0.14454,-0.29655,0.10880720109964903
8400.026998668909,4.04484,-0.14536,-0.29897,0.10961458903286947
8460.02300195396,4.0442,-0.14454,-0.30138,0.1104186406523161
8520.020996779203,4.04291,-0.14536,-0.3038,0.11122602858553643
8580.016004294157,4.04227,-0.14536,-0.30621,0.11203008020498317
8640.023001283407,4.04098,-0.14536,-0.30863,0.1128374681382035
8700.021006166935,4.04034,-0.14536,-0.31105,0.11364485607142383
8760.025005787611,4.03969,-0.14536,-0.31346,0.11444890769087057
8820.025002211332,4.03841,-0.14536,-0.31588,0.1152562956240909
8880.017002299428,4.03776,-0.14454,-0.31829,0.11606034724353764
8940.023999288678,4.03712,-0.14536,-0.32071,0.11686773517675797
9000.015999376774,4.03648,-0.14536,-0.32313,0.1176751231099783
9060.019003227353,4.03519,-0.14536,-0.32554,0.11847917472942504
9120.021001249552,4.03455,-0.14454,-0.32796,0.11928656266264537
9180.026006698608,4.0339,-0.14536,-0.33038,0.1200939505958657
9240.019998326898,4.03262,-0.14454,-0.33279,0.12089800221531244
9300.025003775954,4.03197,-0.14454,-0.33521,0.12170539014853277
9360.020001232624,4.03133,-0.14454,-0.33762,0.1225094417679794
9420.021003484726,4.03004,-0.14536,-0.34004,0.12331682970119984
9480.022005736828,4.0294,-0.14536,-0.34246,0.12412421763442016
9540.017998963594,4.02811,-0.14536,-0.34487,0.12492826925386691
9600.02199858427,4.02747,-0.14454,-0.34729,0.12573565718708724
9660.020999237895,4.02683,-0.14536,-0.3497,0.12653970880653387
9720.017998293042,4.02618,-0.14536,-0.35212,0.1273470967397543
9780.018004775047,4.0249,-0.14536,-0.35453,0.12815114835920094
9840.022004395723,4.02425,-0.14454,-0.35695,0.12895853629242127
9900.024998188019,4.02361,-0.14536,-0.35936,0.129762587911868
9960.025004670024,4.02232,-0.14536,-0.36178,0.13056997584508834
10020.025001093745,4.02168,-0.14536,-0.36419,0.13137402746453497
10080.019998550415,4.02039,-0.14536,-0.36661,0.1321814153977554
10140.016001835465,4.01975,-0.14454,-0.36903,0.13298880333097574
10200.025000423193,4.01846,-0.14536,-0.37144,0.13379285495042237
10260.016004741192,4.01782,-0.14454,-0.37386,0.1346002428836428
10320.021000131965,4.01717,-0.14536,-0.37627,0.13540429450308944
10380.022002384067,4.01653,-0.14536,-0.37869,0.13621168243630988
10440.01999720931,4.01524,-0.14454,-0.38111,0.1370190703695302
10500.02300105989,4.0146,-0.14454,-0.38352,0.13782312198897684
10560.017002746463,4.01396,-0.14454,-0.38594,0.13863050992219728
10620.016999170184,4.01267,-0.14454,-0.38835,0.1394345615416439
10680.027999356389,4.01203,-0.14454,-0.39077,0.14024194947486424
10740.028005838394,4.01074,-0.14536,-0.39319,0.14104933740808467
10800.025004893541,4.0101,-0.14536,-0.3956,0.1418533890275313
10860.019006580114,4.00881,-0.14454,-0.39802,0.14266077696075163
10920.024997740984,4.00817,-0.14536,-0.40043,0.14346482858019838
10980.023998394608,4.00688,-0.14454,-0.40285,0.1442722165134187
11040.015002712607,4.00624,-0.14454,-0.40527,0.14507960444663892
11100.023005530238,4.00559,-0.14454,-0.40768,0.14588365606608578
11160.022006183863,4.00431,-0.14454,-0.4101,0.1466910439993061
11220.022002607584,4.00366,-0.14536,-0.41251,0.14749509561875285
11280.025006458163,4.00302,-0.14536,-0.41493,0.14830248355197317
